SchoolDbn,SchoolYear,TermID,StudentID,LastName,FirstName,OffClass,Gender,Course1,Course2,Course3,Course4,Course5,Course6,Course7,Course8,Course9,Course10,Course11,Course12,Course13,Course14,Course15
02M475,2024,2,47,,,,,AHS11,EES82QFC,FFS62QE,HGS42XHG,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA7,,,,,
02M475,2024,2,48,,,,,AHS11,EES82QFC,FFS64,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,49,,,,,AHS11,EES82QFC,FFS64,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,50,,,,,AHS11,EES82QFC,FFS64,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,51,,,,,AHS11,EES82QFC,FFS64,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA3,ZQFB4,,,,
02M475,2024,2,52,,,,,AHS11,EES82QFC,FFS64,HGS42,MPS22X,MQS82QP1,PPS82QA,SBS22X,UQS11,ZLUN,,,,,
02M475,2024,2,53,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,UDS11Q8,ZLUN,,,,,
02M475,2024,2,54,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QE,PPS82QA,SBS22X,UDS11Q2,ZLUN,ZQFB7,,,,,
02M475,2024,2,55,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,UZS32,ZLUN,,,,,
02M475,2024,2,56,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QE,PPS82QB,SBS22X,UDS11Q2,ZLUN,ZQT10,,,,,
02M475,2024,2,57,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,,,,,
02M475,2024,2,58,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,,,,,
02M475,2024,2,59,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UFS11,ZLUN,ZQ03,,,,
02M475,2024,2,60,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,61,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQ03,,,,,
02M475,2024,2,62,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,,,,,
02M475,2024,2,63,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UDS11Q3,ZLUN,,,,,
02M475,2024,2,64,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,65,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQ03,,,,,
02M475,2024,2,66,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLB,ZLUN,ZQFA7,ZQT10,,,,
02M475,2024,2,67,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22X,UDS11Q8,ZLUN,,,,,,
02M475,2024,2,68,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,69,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,70,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQFA8,,,,,,
02M475,2024,2,71,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PPS84QB,SBS22X,ZLUN,ZQFA6,ZQT10,,,,,
02M475,2024,2,72,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLA,ZLUN,ZQ03,ZQFB6,,,,
02M475,2024,2,73,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA7,,,,,
02M475,2024,2,74,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA7,ZQFB5,,,,
02M475,2024,2,75,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,,,,,
02M475,2024,2,76,,,,,AHS11,EES82QFC,FGS62,HGS42,MGS22QT,PWS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,77,,,,,AHS11,EES82QFC,FGS62,HGS42,MRS22,PPS82QA,SBS22H,SBS44QLA,UQS11,ZLUN,ZQFB4,,,,
02M475,2024,2,78,,,,,AHS11,EES82QFC,FGS62,HGS42,MRS22,PPS82QB,SBS22H,SBS44QLB,UDS11Q2,ZLUN,ZQFA3,ZQFA7,,,
02M475,2024,2,79,,,,,AHS11,EES82QFC,FGS62,HGS42XHG,MES11,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQPD1,,,,
02M475,2024,2,80,,,,,AHS11,EES82QFC,FGS62,HGS42XHG,MGS22QE,MQS82QP1,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,,,,
02M475,2024,2,81,,,,,AHS11,EES82QFC,FGS62,HGS42XHG,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQ03,ZQFB6,,,,
02M475,2024,2,82,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QE,MQS82QP1,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,
02M475,2024,2,83,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,84,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLB,UDS11Q8,ZLUN,,,,,
02M475,2024,2,85,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,UAS11,ZLUN,ZQFB4,ZQFB6,,,
02M475,2024,2,86,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,UJS11,ZLUN,ZQFB4,,,,
02M475,2024,2,87,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB4,,,,,
02M475,2024,2,88,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB4,ZQFB6,,,,
02M475,2024,2,89,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UDS11Q2,ZLUN,,,,,
02M475,2024,2,90,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQ03,,,,,
02M475,2024,2,91,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QA,SBS22X,UDS11Q4,ZLUN,,,,,,
02M475,2024,2,92,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,,,,,
02M475,2024,2,93,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UAS11,ZLUN,ZQFB3,,,,
02M475,2024,2,94,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UDS11Q4,ZLUN,ZQFA3,,,,
02M475,2024,2,95,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UFS11,ZLUN,,,,,
02M475,2024,2,96,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,97,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,98,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQ03,,,,,
02M475,2024,2,99,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQPD1,,,,,
02M475,2024,2,100,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PPS82QB,SBS22X,UDS11Q8,ZLUN,ZQT10,,,,,
02M475,2024,2,101,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,102,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,UDS11Q4,ZLUN,ZQFB6,,,,
02M475,2024,2,103,,,,,AHS11,EES82QFC,FJS62,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA3,ZQFB5,,,,
02M475,2024,2,104,,,,,AHS11,EES82QFC,FJS62,HGS42XHG,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,,,,,
02M475,2024,2,105,,,,,AHS11,EES82QFC,FJS62,HGS42XHG,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,,,,,
02M475,2024,2,106,,,,,AHS11,EES82QFC,FJS62,HGS42XHG,MGS22QT,PPS84QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,107,,,,,AHS11,EES82QFC,FJS64,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,108,,,,,AHS11,EES82QFC,FJS64,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UZS32,ZLUN,ZQFB7,,,,
02M475,2024,2,109,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MES11,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,
02M475,2024,2,110,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,UMS11,ZLUN,ZQFB7,,,,
02M475,2024,2,111,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QE,PPS82QB,SBS22X,ZLUN,ZQFA3,,,,,,
02M475,2024,2,112,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QE,PWS82QA,SBS22X,ZLUN,ZQFB6,,,,,,
02M475,2024,2,113,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,UAS11,ZLUN,,,,,
02M475,2024,2,114,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,UDS11Q2,ZLUN,,,,,
02M475,2024,2,115,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,,,,,
02M475,2024,2,116,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB6,ZQT10,,,,
02M475,2024,2,117,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,,,,,
02M475,2024,2,118,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UZS32,ZLUN,ZQT10,,,,
02M475,2024,2,119,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,120,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22X,UAS11,ZLUN,ZQT10,,,,,
02M475,2024,2,121,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22X,ZLUN,,,,,,,
02M475,2024,2,122,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QA,SBS22X,ZLUN,,,,,,,
02M475,2024,2,123,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,UDS11Q2,ZLUN,ZQFB4,,,,
02M475,2024,2,124,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,125,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,126,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLA,ZLUN,ZQ03,ZQFB6,,,,
02M475,2024,2,127,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22H,SBS44QLB,ZLUN,ZQ07,ZQFA3,,,,
02M475,2024,2,128,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,UAS11,ZLUN,,,,,,
02M475,2024,2,129,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,UDS11Q4,ZLUN,,,,,,
02M475,2024,2,130,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,131,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS82QB,SBS22X,ZLUN,ZQFB7,,,,,,
02M475,2024,2,132,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PPS84QB,SBS22H,SBS44QLA,ZLUN,ZQ01,ZT10,,,,
02M475,2024,2,133,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFB4,ZT10,,,,
02M475,2024,2,134,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PWS82QA,SBS22H,SBS44QLB,ZLUN,ZQFB6,,,,,
02M475,2024,2,135,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,ZQFA5,ZQFB3,,,,
02M475,2024,2,136,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,ZQFB4,,,,,
02M475,2024,2,137,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,ZQT10,,,,,
02M475,2024,2,138,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MRS22,PPS82QB,SBS22H,SBS44QLA,UZS32,ZLUN,ZQFA3,,,,
02M475,2024,2,139,,,,,AHS11,EES82QFC,FLS62QE,HGS42,MRS22,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,140,,,,,AHS11,EES82QFC,FLS62QE,HGS42XHG,MGS22QT,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,141,,,,,AHS11,EES82QFC,FLS62QE,HGS42XHG,MGS22QT,PWS82QA,SBS22H,SBS44QLB,UQS11,ZLUN,ZQFB3,,,,
02M475,2024,2,142,,,,,AHS11,EES82QFC,FLS62QE,HGS42XHG,MGS22QT,PWS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,143,,,,,AHS11,EES82QFC,FLS64,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,ZQT10,,,,
02M475,2024,2,144,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MES11,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,,,,,
02M475,2024,2,145,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,MQS82QP1,PPS82QB,SBS22X,ZLUN,,,,,,
02M475,2024,2,146,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,MQS82QP1,PWS82QA,SBS22X,ZLUN,ZQFB6,,,,,
02M475,2024,2,147,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,148,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,ZLUN,,,,,,
02M475,2024,2,149,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQ04,,,,,
02M475,2024,2,150,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QA,SBS22H,SBS44QLB,ZLUN,ZQFA8,ZQFB3,,,,
02M475,2024,2,151,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,UMS11,ZLUN,,,,,
02M475,2024,2,152,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,153,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,154,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,155,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PPS82QB,SBS22X,ZLUN,,,,,,,
02M475,2024,2,156,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PWS82QA,SBS22X,ZLUN,ZQFA6,ZQFB3,,,,,
02M475,2024,2,157,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PWS82QB,SBS22H,SBS44QLA,ZLUN,,,,,,
02M475,2024,2,158,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QE,PWS82QB,SBS22X,ZLUN,ZQ03,,,,,,
02M475,2024,2,159,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQ03,ZQFB7,,,,
02M475,2024,2,160,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB3,,,,,
02M475,2024,2,161,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB4,,,,,
02M475,2024,2,162,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLA,ZLUN,ZQFB7,,,,,
02M475,2024,2,163,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UAS11,ZLUN,,,,,
02M475,2024,2,164,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UDS11Q4,ZLUN,,,,,
02M475,2024,2,165,,,,,AHS11,EES82QFC,FMS62QE,HGS42,MGS22QT,PPS82QA,SBS22H,SBS44QLB,UFS11,ZLUN,,,,,
